1H,2H,3H,4H,5H,6H,7H,8H,1L,2L,3L,4L,5L,6L,7L,8L
31,33,41,44,50,55,60,65,34,41,45,47,56,59,63,70
29,36,41,46,50,55,60,65,35,40,45,51,56,58,66,71
29,35,40,46,49,55,62,64,37,40,45,51,54,60,63,69
29,34,39,46,50,55,61,65,34,40,46,50,55,60,66,69
30,35,39,45,51,56,62,65,35,40,44,51,55,61,66,70
29,35,40,45,49,54,59,64,35,42,45,50,53,60,65,71
32,36,40,43,51,56,60,65,35,39,46,50,56,61,65,69
31,33,39,44,52,53,60,66,35,42,47,51,54,61,66,70
30,36,40,46,48,54,61,63,33,40,44,49,55,59,65,69
29,35,41,47,51,53,59,64,33,41,46,50,56,60,66,70
32,34,40,43,51,54,60,65,35,41,43,51,55,61,63,70
29,35,40,44,51,55,58,63,34,41,44,51,55,59,66,69
29,34,40,45,50,56,59,63,37,41,46,51,55,61,64,70
30,35,39,45,48,55,60,67,32,40,44,51,59,60,67,69
29,34,41,47,50,54,59,63,34,41,46,50,54,59,65,70
30,36,41,46,50,54,58,65,35,40,44,50,55,60,65,70
30,37,40,46,49,54,62,67,34,40,45,50,55,59,64,71
31,35,41,46,50,54,58,64,36,38,47,51,54,62,65,70
28,35,39,47,48,54,61,64,34,39,43,48,55,60,66,70
29,36,40,46,51,57,60,65,36,39,44,48,54,60,65,70
30,35,41,46,50,55,60,65,36,38,44,49,55,59,66,70
30,34,40,47,50,55,60,64,35,38,46,51,56,60,63,69
32,34,39,45,51,56,61,65,36,41,45,50,55,59,66,70
30,34,41,44,49,54,59,65,34,42,45,50,56,60,64,70
32,34,40,45,50,56,61,64,33,40,45,50,54,59,66,70
30,35,40,43,51,56,59,64,34,39,46,49,57,60,63,70
30,36,40,46,50,56,61,63,36,39,43,50,56,61,65,71
30,34,41,44,51,56,62,66,35,40,44,50,55,60,65,69
30,35,41,43,51,55,60,67,35,41,44,51,54,61,66,68
31,36,41,46,48,55,60,64,35,38,46,51,57,59,66,68
30,36,39,47,50,54,60,65,36,41,44,48,56,60,66,70
33,36,39,43,50,55,59,64,35,38,45,51,56,60,63,71
30,35,40,45,49,55,60,65,35,38,45,51,55,60,67,70
30,34,39,45,51,53,59,65,37,39,44,50,53,60,64,69
29,37,42,47,49,53,59,65,37,39,45,49,56,60,65,70
30,36,41,45,51,55,61,65,35,39,47,50,56,60,64,70
31,35,40,45,49,53,59,66,36,41,46,50,57,62,65,71
31,34,40,47,50,54,59,65,36,39,46,50,55,58,64,68
29,37,40,45,50,55,60,66,34,39,44,49,54,60,66,70
31,35,40,45,50,56,60,65,35,41,45,50,55,60,63,71
31,34,39,46,50,53,60,64,35,39,45,48,57,59,65,69
30,36,41,43,51,55,59,66,36,40,46,50,57,61,66,70
30,35,40,45,49,54,61,65,36,40,45,48,55,61,65,72
31,36,38,44,50,55,60,67,35,42,45,51,54,61,65,71
28,35,40,45,50,56,61,64,34,39,45,49,54,61,65,69
27,34,40,44,52,54,60,64,35,38,46,49,55,58,66,70
32,35,42,47,51,57,60,66,34,39,46,49,56,60,65,69
30,35,41,48,50,55,61,65,36,41,46,49,53,59,65,72
30,34,42,46,49,55,59,65,37,40,45,49,55,60,65,71
30,38,39,44,50,55,60,64,34,39,44,49,55,58,64,69
30,36,39,45,52,55,61,65,35,39,43,51,55,60,65,70
29,36,41,45,50,55,59,67,34,39,44,51,57,61,66,69
31,35,40,46,50,55,61,65,34,39,45,49,53,61,65,71
29,34,39,46,50,56,61,66,35,41,44,50,55,61,66,70
30,35,40,46,50,55,59,65,34,41,44,49,54,60,65,70
70,76,78,84,75,80,85,90,11,15,21,25,15,20,26,31
69,76,81,86,76,80,85,90,11,14,20,25,15,20,24,30
70,77,81,86,76,81,88,91,9,15,19,25,15,19,25,30
70,75,80,83,75,80,82,89,12,16,21,25,15,18,25,30
70,76,81,85,75,79,84,91,9,15,19,26,14,19,25,33
69,76,80,87,75,78,86,91,11,15,20,24,14,21,24,30
70,75,81,85,76,81,85,89,8,15,21,24,14,20,26,28
71,75,79,85,73,81,84,90,11,16,19,24,16,20,25,30
68,75,79,85,75,80,85,90,11,16,21,25,15,20,24,30
69,75,80,85,74,80,85,91,10,16,19,25,16,19,25,31
68,75,82,85,74,80,87,90,11,15,21,25,15,21,24,28
69,77,79,85,74,82,86,90,11,16,20,25,14,20,25,32
70,75,80,85,76,80,86,90,11,14,20,24,16,21,24,29
69,75,80,84,77,80,84,91,10,15,20,25,14,21,25,30
69,75,80,84,77,80,84,90,10,14,19,27,15,21,26,30
