"1H","1L","2H","2L","3H","3L","4H","4L","5H","5L","6H","6L","7H","7L","8H","8L"
12,11,36,35,61,61,87,86,214,213,240,239,265,262,290,290
12,10,37,35,60,60,86,85,214,214,240,238,266,263,292,287
12,10,36,34,61,61,87,85,215,214,238,238,264,263,289,287
11,10,36,36,60,61,86,83,216,211,240,237,265,264,292,290
11,8,36,32,62,60,88,85,213,213,238,239,265,262,291,287
11,11,36,35,63,61,86,82,214,213,239,238,265,263,290,289
11,9,37,35,64,61,87,87,217,212,240,238,267,264,288,287
13,11,37,34,61,60,88,85,216,212,240,240,265,263,290,286
14,12,36,35,62,60,88,86,213,212,241,236,265,262,291,287
12,9,37,33,62,61,87,85,216,214,239,238,265,263,291,289
12,11,35,36,62,60,85,87,215,213,240,238,265,264,291,288
12,10,37,33,61,60,88,84,214,212,241,239,267,263,289,288
12,8,38,33,63,59,87,86,215,212,240,237,264,263,289,288
12,8,36,34,62,60,86,85,216,211,241,239,264,264,291,288
12,8,36,35,63,60,86,86,215,214,238,238,265,263,290,290
11,9,39,34,60,60,86,84,216,214,240,239,264,261,289,289
11,9,37,34,62,60,86,87,217,212,240,238,265,264,291,288
13,11,37,35,62,59,86,85,215,212,241,237,264,265,288,287
11,12,37,34,62,59,88,85,214,213,239,237,265,263,291,288
12,9,37,35,62,61,86,84,215,215,240,239,263,263,288,287
12,11,37,35,61,59,87,83,213,215,240,238,264,264,290,287
11,11,36,37,62,60,88,83,215,213,241,237,265,262,289,287
13,10,37,35,63,59,87,83,214,212,241,238,264,263,290,287
12,9,37,37,61,60,85,85,214,215,240,237,265,263,290,287
13,10,37,35,62,60,88,86,214,214,240,237,264,265,289,288
12,10,36,35,62,59,87,85,219,211,240,238,265,264,291,289
12,11,38,33,63,61,88,83,214,212,239,237,265,264,292,289
12,10,37,34,64,60,86,85,214,214,242,237,264,263,288,288
11,11,36,35,63,60,87,87,215,213,240,239,264,264,289,290
11,10,38,36,62,60,87,86,215,210,240,238,266,261,289,289
13,11,37,35,63,60,88,87,218,213,239,238,264,264,291,289
12,9,37,36,62,59,86,85,215,215,240,240,266,264,290,289
12,9,37,34,62,59,87,82,215,213,240,238,264,263,288,288
12,13,36,35,63,60,88,86,215,214,241,236,264,263,289,286
11,10,37,35,62,59,88,85,216,212,240,238,266,264,289,288
10,10,36,35,62,60,86,83,215,213,240,240,265,265,290,287
12,11,36,35,62,58,88,85,215,214,240,237,265,261,289,288
13,10,37,34,62,59,87,84,215,213,240,241,264,263,289,289
11,11,37,35,64,60,87,85,213,213,241,238,266,264,290,288
13,10,36,35,62,61,88,85,214,213,241,238,265,262,289,288
12,10,37,35,63,60,88,84,215,212,241,238,265,264,289,289
13,10,35,33,62,59,86,84,216,212,239,239,264,265,290,287
11,10,37,34,63,60,88,84,215,213,240,237,263,264,289,290
12,12,38,34,63,61,86,85,215,212,240,239,264,263,290,288
12,9,36,33,61,61,88,86,214,214,242,240,264,265,290,288
13,9,36,35,62,61,86,86,216,212,240,239,265,263,290,288
11,10,37,35,62,61,86,86,216,213,239,238,264,263,290,289
12,10,38,35,63,60,88,83,215,214,242,235,266,263,290,289
10,10,38,36,62,61,87,85,216,213,242,238,265,264,291,288
11,10,40,35,62,59,86,84,215,212,240,239,265,264,291,288
12,9,38,36,62,60,88,86,215,213,241,239,266,262,291,289
11,11,38,34,63,60,87,85,216,213,239,238,265,263,289,288
12,10,39,35,62,60,88,84,216,213,241,239,265,263,290,288
12,9,37,36,61,61,87,85,214,212,239,239,266,263,290,288
13,10,37,35,62,61,86,86,215,212,240,238,265,262,290,288
13,10,37,33,62,59,87,84,214,214,239,237,265,262,290,287
11,11,36,34,63,60,87,83,215,210,238,237,267,263,290,289
12,10,35,36,61,59,87,86,214,214,239,239,266,262,291,288
13,11,39,34,60,60,85,86,215,213,241,238,265,262,291,288
10,10,36,35,62,60,86,84,216,211,239,239,265,260,289,289
12,10,37,35,63,61,87,87,215,211,239,236,266,263,291,290
14,10,36,35,62,60,88,85,216,212,239,237,265,265,291,288
14,10,37,35,63,61,88,84,215,214,240,236,266,262,291,290
12,9,38,35,63,61,88,85,216,213,241,239,266,263,290,288
11,9,37,35,61,60,87,85,213,213,240,239,264,262,288,288
12,12,37,36,63,61,87,86,216,213,239,237,263,263,289,288
11,11,38,35,61,60,86,85,214,214,241,239,266,263,291,290
13,9,37,34,63,59,88,86,215,213,240,239,268,263,290,288
11,9,36,35,63,60,86,85,215,213,241,239,267,263,291,291
12,9,37,36,62,59,87,86,215,213,240,237,265,264,290,288
13,12,36,37,63,61,88,86,215,213,241,238,265,261,289,288
11,11,37,35,62,59,87,85,214,211,240,239,268,263,290,288
13,10,36,35,63,61,87,84,214,213,241,238,267,263,289,287
11,11,38,36,60,58,87,85,214,215,240,240,265,262,290,288
13,10,35,36,61,59,86,84,216,213,239,239,265,263,289,287
13,10,37,34,62,60,87,85,215,214,240,239,266,263,291,289
11,9,37,36,61,59,86,86,215,213,240,237,266,263,290,289
13,9,39,34,59,61,87,84,214,214,242,239,265,263,291,288
12,12,37,34,61,60,87,84,216,214,241,238,264,265,292,288
12,10,37,36,64,60,87,84,215,213,240,239,265,264,290,288
12,10,37,35,61,61,88,85,213,213,240,237,262,261,291,287
12,10,37,35,62,60,88,86,215,213,241,238,265,263,291,288
12,11,38,34,62,61,87,84,215,212,238,238,264,263,288,288
11,9,39,37,62,60,88,84,215,214,240,238,265,263,289,289
12,9,38,36,62,61,86,85,215,213,240,238,263,263,289,289
13,12,37,35,62,59,87,84,215,214,241,240,263,263,290,287
10,10,39,36,62,59,87,86,216,212,241,238,266,263,290,289
11,9,38,34,60,58,87,85,215,211,241,237,265,264,290,288
11,9,38,35,62,60,87,86,214,211,240,236,266,264,290,288
10,9,38,36,62,61,87,86,214,211,241,238,266,261,291,287
12,9,37,35,62,59,87,86,215,214,243,239,267,265,291,289
11,11,38,36,63,60,86,84,215,213,240,239,264,262,289,289
10,11,37,35,62,60,87,83,216,214,241,238,265,261,289,289
11,11,37,33,62,60,85,85,214,214,241,238,268,264,290,288
12,10,37,34,61,60,88,85,215,212,239,238,265,263,289,287
13,10,36,35,62,59,88,85,214,215,240,239,267,264,289,291
11,9,39,36,60,59,87,85,216,215,240,238,266,263,290,287
13,9,36,34,64,60,89,87,215,213,239,240,264,264,290,287
12,11,37,35,62,61,86,85,218,213,239,237,266,261,290,289
12,9,38,34,62,59,88,84,215,214,239,240,263,264,290,288
11,12,37,34,62,60,88,87,214,214,239,238,267,262,292,289
14,10,38,34,61,60,89,85,217,214,241,238,265,264,292,287
12,10,36,36,62,61,88,85,217,214,241,237,264,263,291,288
10,9,37,36,61,60,88,84,217,213,240,239,265,264,291,286
12,9,37,36,62,61,88,86,215,213,240,238,267,263,289,288
10,9,36,36,61,59,88,86,216,213,242,237,265,262,288,287
12,10,37,35,61,61,88,86,216,212,239,237,267,263,291,288
12,10,36,36,62,60,88,84,216,212,240,238,264,263,289,288
13,10,38,35,62,59,88,86,214,212,241,238,266,262,290,288
13,9,37,34,62,58,87,85,214,213,240,239,264,263,289,288
11,9,37,34,61,60,89,87,216,214,240,238,265,263,291,288
13,9,36,35,62,61,87,85,214,214,240,237,266,266,290,289
13,11,37,35,62,60,86,85,215,213,240,238,266,263,290,289
11,9,35,35,63,60,88,87,214,213,239,238,265,261,290,288
11,10,34,34,61,60,86,86,217,211,240,238,266,263,289,289
13,12,39,33,62,60,87,85,216,213,240,237,267,263,289,288
12,10,38,35,64,59,86,84,216,212,240,239,265,263,292,289
13,9,38,35,61,60,88,86,215,212,241,238,265,264,290,289
13,9,35,36,62,60,88,86,214,212,241,238,265,263,289,288
12,10,38,33,62,59,86,84,215,213,241,238,265,263,290,288
13,10,38,34,62,60,88,85,215,213,239,238,265,264,290,289
13,9,37,35,61,60,87,85,215,214,241,237,264,262,290,289
12,10,38,34,61,61,88,83,215,215,240,238,265,263,291,288
12,10,38,33,61,61,88,86,212,213,241,239,264,265,289,288
13,12,37,36,62,60,86,84,215,213,240,237,265,263,291,289
11,10,39,36,63,60,87,85,216,215,240,237,264,261,290,288
11,11,38,34,62,60,84,83,216,214,240,239,264,264,290,289
13,11,38,35,64,60,87,86,217,213,239,240,265,261,290,288
12,10,37,34,61,59,88,86,216,214,240,238,265,261,290,287
12,8,37,35,63,61,88,87,216,211,242,235,265,263,290,289
13,9,36,35,62,59,88,84,215,213,241,239,264,264,290,288
13,10,37,34,62,62,87,86,214,213,240,238,266,263,291,287
12,10,37,34,62,59,88,85,214,214,240,239,264,263,290,288
12,11,37,34,63,57,86,85,217,212,241,238,263,262,290,290
12,12,36,35,62,61,86,85,213,212,240,237,265,262,290,286
13,12,37,36,63,59,86,85,215,214,240,238,265,264,290,286
12,10,39,35,62,61,87,84,215,213,240,238,265,262,290,288
13,8,36,34,62,60,87,84,215,212,241,237,262,263,291,288
12,10,37,33,62,61,87,86,216,212,240,239,264,262,291,289
13,10,36,36,61,59,87,82,214,212,240,238,262,263,290,286
13,11,36,35,61,59,88,85,216,213,241,238,264,263,287,287
13,11,37,35,62,61,89,85,215,214,241,237,265,264,290,288
12,11,37,36,63,59,86,86,215,212,241,239,266,262,291,289
12,9,36,34,63,58,87,85,215,214,242,238,265,262,291,289
12,11,36,36,61,61,86,84,215,213,240,239,264,264,290,286
12,10,37,35,62,60,88,86,214,213,240,238,265,262,290,288
12,10,38,34,64,62,88,86,215,213,240,238,265,263,290,288
13,10,37,35,61,60,88,86,215,212,241,238,265,264,289,287
12,10,36,35,62,60,86,84,213,211,240,237,264,264,288,287
12,10,36,35,62,59,87,87,217,212,240,239,264,261,289,289
12,8,35,34,61,62,89,86,217,212,237,240,265,264,290,287
12,11,35,35,61,59,86,86,216,213,240,237,265,262,290,290
12,10,36,32,62,61,86,84,215,211,240,238,266,264,291,289
10,10,36,34,65,61,87,85,214,213,243,238,263,264,290,288
11,10,36,35,62,59,86,85,216,215,239,238,265,261,290,287
12,10,39,35,62,62,88,84,216,214,241,238,265,263,290,286
12,10,39,36,62,59,87,85,216,214,241,238,264,264,289,289
11,12,40,35,61,60,87,86,215,213,240,238,264,261,292,288
10,10,38,36,63,60,86,85,216,212,240,238,265,263,290,290
12,10,37,36,63,62,87,85,217,212,241,239,265,262,290,290
13,11,36,33,62,61,88,86,215,214,240,238,265,265,290,287
14,11,36,35,62,62,86,84,215,214,239,237,266,264,291,288
12,11,37,37,61,59,88,86,215,214,239,239,265,264,290,288
13,9,38,35,63,58,86,86,214,212,238,238,265,262,290,290
12,12,38,35,60,61,87,84,214,213,240,239,264,266,290,290
12,10,38,35,62,58,87,83,214,212,240,237,266,262,291,288
12,12,37,36,63,59,86,86,215,213,241,238,264,264,289,287
11,9,35,35,64,61,86,85,215,212,241,238,265,262,289,289
12,10,37,34,61,60,88,87,216,212,241,238,264,261,290,287
13,11,37,35,61,61,87,85,214,212,239,238,266,264,291,289
11,9,37,35,62,61,87,85,215,213,241,239,265,263,290,290
12,9,39,35,62,61,88,83,215,213,239,237,267,262,291,288
11,9,38,35,63,60,87,84,215,214,240,239,264,263,290,288
12,9,37,35,62,61,87,84,216,211,242,238,266,262,289,288
12,10,35,34,61,60,87,88,217,215,239,238,264,264,291,288
13,10,37,36,64,62,86,84,217,212,240,236,264,265,291,288
11,8,38,37,62,60,87,86,217,213,240,238,264,262,289,288
12,10,37,36,63,61,89,86,216,214,241,238,264,261,290,289
11,11,37,35,63,59,87,85,217,212,242,238,264,263,290,288
12,12,38,33,62,60,86,85,214,212,238,239,265,263,293,288
13,11,37,35,64,58,88,84,215,213,241,238,264,263,289,287
11,11,37,36,61,60,88,85,216,212,239,239,266,262,287,290
13,8,37,36,61,59,88,85,215,213,240,238,264,263,290,288
11,9,38,34,63,60,88,84,215,212,241,238,266,264,290,290
12,10,37,34,60,60,87,86,216,213,242,237,265,262,290,289
12,11,38,35,63,61,88,84,215,214,241,239,265,262,289,289
11,10,36,36,62,59,86,83,216,214,242,239,267,264,289,289
10,9,36,36,63,59,87,86,216,213,238,238,266,262,290,288
13,12,37,36,63,58,87,85,214,213,239,237,266,263,289,287
12,11,38,34,61,61,89,83,216,213,240,237,264,263,290,288
11,10,37,34,61,61,88,84,214,213,241,238,266,263,289,289
10,11,36,33,63,60,89,86,216,213,239,237,266,263,290,288
14,9,34,36,63,61,87,84,214,212,240,237,264,263,290,288
15,11,37,36,61,60,86,86,216,213,240,239,264,262,289,287
12,9,36,35,61,59,86,85,215,212,238,239,266,262,291,287
13,11,37,34,61,60,86,84,216,213,240,240,266,262,289,287
13,10,38,37,62,61,85,85,215,213,240,239,265,264,291,287
11,11,37,35,62,59,87,83,216,212,241,238,265,263,292,288
12,11,38,37,64,58,87,84,214,214,239,237,267,263,292,289
10,10,37,36,63,60,88,85,215,213,240,239,263,263,292,289
11,11,37,36,62,60,85,85,216,213,241,237,265,264,289,289
13,9,36,35,61,58,87,85,214,214,238,239,265,265,290,288
12,9,37,35,61,58,87,85,214,212,241,240,265,263,288,288
12,12,38,34,61,60,88,86,215,215,240,237,265,263,291,286
12,10,39,34,61,61,88,87,215,214,239,237,266,264,289,289
10,8,36,35,62,60,86,87,215,213,239,239,265,263,290,289
13,9,38,35,59,61,87,84,217,214,239,238,265,263,290,287
11,10,36,35,61,59,87,84,213,213,240,239,267,262,291,288
12,11,38,35,63,60,86,84,214,212,242,239,263,262,292,287
12,10,37,35,62,61,87,85,214,212,240,238,265,262,291,289
12,11,37,34,63,60,87,85,216,213,239,237,264,264,290,288
13,11,38,34,61,60,86,85,216,214,240,239,264,263,289,287
11,12,38,34,63,59,86,85,214,213,240,237,266,262,290,289
11,10,37,36,62,60,87,85,214,212,240,239,267,262,292,288
10,10,37,35,63,59,87,85,215,213,241,239,264,264,289,288
11,8,37,35,62,58,86,84,213,212,240,236,266,263,290,287
11,10,37,34,62,59,89,84,215,213,240,236,263,263,290,288
12,9,37,35,62,60,86,84,215,214,239,237,262,264,289,288
11,9,38,34,63,60,87,84,213,213,239,240,264,263,293,288
12,10,38,34,61,61,86,84,215,214,239,237,265,264,289,287
12,11,38,33,65,60,88,86,215,212,240,238,264,262,291,288
11,8,38,36,62,60,88,87,216,213,240,238,265,263,290,288
11,10,38,35,62,61,85,84,215,212,242,235,263,263,290,288
13,10,37,34,61,62,86,86,214,214,241,239,266,264,290,288
13,9,36,36,63,60,85,85,214,212,241,239,263,263,290,290
14,10,37,36,62,61,89,85,216,212,241,238,264,265,291,289
12,10,36,36,63,60,87,85,215,212,240,237,265,264,290,288
11,10,37,35,63,60,87,85,215,214,240,239,264,263,289,287
11,8,36,35,61,58,87,85,215,213,240,239,265,262,290,286
12,13,37,35,63,59,85,84,215,211,239,239,264,264,290,288
14,10,36,35,61,59,85,85,213,211,240,239,265,263,291,289
12,11,36,36,62,59,88,86,216,213,239,238,263,263,291,291
13,10,37,37,63,59,87,85,216,212,242,239,266,262,291,289
13,11,37,34,60,60,86,84,217,213,240,238,264,263,290,288
11,11,37,34,62,61,86,83,214,212,240,239,264,263,289,288
12,10,38,35,62,59,88,86,214,213,239,239,266,264,290,288
13,10,35,38,60,60,86,85,215,213,239,239,265,261,289,288
13,9,37,35,62,60,87,84,214,214,241,239,265,262,292,288
12,11,39,36,63,61,88,85,216,213,241,238,265,263,288,288
12,10,37,35,61,60,86,84,213,213,241,239,265,264,290,286
12,12,37,35,61,60,86,85,215,211,239,239,266,263,289,287
11,8,36,34,62,59,89,85,215,212,239,238,267,263,291,288
13,10,37,35,62,61,86,83,216,213,242,237,264,265,288,288
11,11,38,37,62,61,89,84,216,213,241,237,265,263,290,289
11,11,36,35,62,60,87,84,215,214,240,237,264,264,290,287
13,9,36,35,62,63,87,84,213,212,240,239,265,262,289,289
11,9,38,36,64,60,88,87,215,214,239,238,265,264,289,288
11,10,37,37,62,63,86,86,215,214,239,238,264,262,291,289
11,10,38,36,61,60,86,86,213,213,241,239,265,263,290,288
13,8,38,34,60,58,89,85,216,213,240,238,265,263,290,289
12,10,38,34,62,59,87,86,215,214,240,238,266,263,290,288
12,10,36,33,61,59,88,84,214,213,239,238,264,264,289,289
12,10,37,32,63,61,85,83,215,213,242,236,266,263,290,289
13,9,37,36,62,62,88,82,216,212,240,241,263,262,290,287
13,10,37,35,62,60,87,85,216,212,239,237,264,265,292,286
10,11,38,35,60,60,87,85,215,213,240,238,266,265,290,288
12,10,37,36,62,59,86,84,217,212,239,237,266,262,292,288
12,9,37,34,62,59,87,85,215,213,240,239,264,264,291,288
13,10,37,35,61,59,87,85,215,214,239,239,265,264,290,288
11,10,37,35,61,59,85,85,215,213,241,238,265,263,289,286
12,9,36,35,61,59,86,86,216,214,241,238,264,263,292,286
11,8,37,34,63,59,87,86,216,214,241,236,264,264,289,287
13,11,39,36,63,61,87,86,215,213,240,239,265,265,291,287
13,9,38,36,63,61,87,86,215,213,239,237,264,262,290,287
13,9,36,35,63,62,87,84,214,214,237,238,264,263,289,288
11,12,36,34,62,58,88,85,215,211,241,239,264,263,290,288
12,9,36,36,63,60,87,85,216,213,239,237,265,265,293,288
13,11,38,36,62,60,87,85,215,213,242,238,264,264,292,289
12,9,37,36,63,60,88,86,216,215,240,236,266,262,291,290
11,10,36,36,61,58,89,84,215,213,240,238,267,264,290,288
11,10,37,35,61,60,88,84,216,213,241,237,264,261,290,288
11,9,38,34,63,59,88,85,214,212,239,239,267,264,289,291
13,9,37,34,64,60,86,84,216,213,240,238,265,264,290,288
12,10,37,35,62,59,87,86,214,212,241,238,263,265,291,287
12,11,37,36,62,63,87,85,217,214,240,240,264,263,290,288
13,8,37,35,63,59,88,82,215,213,242,235,266,264,288,289
13,10,36,33,62,60,87,85,214,213,240,238,265,263,292,288
13,11,37,33,62,59,88,85,214,213,241,238,266,262,290,290
10,9,36,35,62,60,90,84,213,214,241,239,265,262,291,286
12,10,37,35,63,62,86,84,215,212,240,237,263,262,290,288
12,10,38,33,61,60,88,85,215,214,241,238,263,264,289,287
13,10,37,34,62,61,86,86,214,213,240,237,267,263,290,288
11,11,38,35,63,59,86,85,215,212,240,238,266,262,292,287
13,10,36,36,60,62,88,86,214,211,240,238,265,262,290,289
12,10,37,33,63,60,87,86,216,214,241,238,264,262,291,288
12,7,37,34,61,59,87,84,215,215,239,237,266,263,291,286
13,10,36,34,61,60,86,86,215,214,239,238,263,261,289,290
12,10,37,35,62,60,87,85,217,212,239,238,266,263,289,288
13,11,37,35,64,61,86,85,216,213,239,238,265,264,290,288
13,9,38,35,61,59,88,87,214,215,241,237,264,263,289,287
12,12,38,33,61,60,86,86,216,214,240,240,265,264,289,286
13,10,36,34,62,62,87,85,213,214,240,239,264,263,292,288
12,10,38,34,63,61,87,83,218,215,241,238,265,263,290,288
13,11,38,35,62,60,87,85,216,212,241,238,264,262,290,287
11,9,37,37,63,60,87,86,213,213,238,237,264,261,291,287
14,10,38,34,63,60,86,86,214,212,240,238,266,263,291,286
12,12,36,35,60,61,87,86,217,213,240,237,265,264,290,289
13,10,37,34,63,60,88,85,214,212,241,239,265,263,290,288
12,12,34,34,61,61,89,85,217,213,240,236,264,262,288,288
12,9,37,36,62,61,86,85,216,213,240,237,265,262,288,290
13,10,39,34,64,60,88,86,216,212,241,240,266,262,291,286
10,10,39,38,62,61,86,85,215,215,241,238,265,262,290,286
12,10,34,35,63,60,87,85,217,213,241,238,264,263,290,289
12,9,38,35,61,61,86,84,215,211,240,238,266,262,289,290
