"1H","2H","3H","4H","5H","6H","7H","8H","1L","2L","3L","4L","5L","6L","7L","8L"
26,35,45,55,49,60,70,82,21,29,42,51,45,55,66,75
25,35,44,56,51,59,70,80,20,31,41,50,45,55,66,76
24,34,46,55,51,60,69,79,20,30,42,50,46,57,64,73
26,34,45,55,50,59,70,79,19,31,40,50,45,55,65,75
23,35,47,56,50,60,68,79,21,30,40,51,46,55,66,73
26,35,45,54,51,60,70,81,19,30,41,51,45,54,66,75
24,35,46,56,50,59,69,80,20,30,40,50,45,54,67,75
25,35,45,56,49,60,71,83,19,31,41,50,46,56,66,74
23,34,46,54,49,60,71,82,21,30,40,50,45,55,65,75
25,35,46,56,50,59,69,79,21,31,42,49,45,55,65,76
26,35,45,53,50,60,71,83,20,30,39,50,46,54,66,75
24,36,45,53,51,60,71,81,20,30,41,52,45,54,65,76
24,35,45,55,51,61,70,80,19,31,39,50,43,55,66,75
26,35,45,55,52,59,68,80,20,31,41,50,44,56,65,74
26,35,46,55,50,59,72,79,21,30,41,49,46,55,65,74
26,34,46,54,51,59,70,80,21,30,40,50,46,54,65,75
23,36,46,54,49,60,71,79,20,30,41,50,46,56,64,75
25,34,46,56,49,60,71,81,19,30,39,51,47,57,64,75
23,34,45,55,50,58,69,79,21,30,40,50,45,55,64,74
24,33,45,53,49,59,71,81,21,30,39,52,46,56,63,75
25,34,46,54,52,59,71,80,20,30,39,50,46,56,66,77
25,35,46,55,51,60,70,82,19,31,40,48,45,56,67,77
22,34,44,54,51,60,70,79,19,30,40,49,45,53,66,75
26,33,44,54,51,60,72,78,22,30,41,51,44,55,64,74
25,36,45,54,50,60,69,82,21,30,38,50,43,53,66,74
23,36,45,56,51,59,71,82,22,30,40,52,45,56,64,76
26,34,43,55,50,60,69,81,19,30,40,50,44,54,64,74
26,36,44,56,52,59,68,80,19,28,38,51,45,55,66,74
25,35,44,57,50,60,69,81,21,31,39,51,45,53,65,74
25,35,45,56,50,60,70,80,20,29,41,50,45,55,65,74
25,36,42,55,50,58,70,80,21,31,38,50,47,58,65,76
26,35,45,56,51,59,69,79,21,31,41,52,44,57,66,75
24,34,46,56,52,60,71,82,20,31,39,50,45,55,65,76
24,37,45,55,50,58,69,80,19,30,40,50,45,55,65,74
26,36,46,54,50,60,70,81,20,27,42,51,43,54,66,74
26,34,45,55,50,61,70,77,19,30,41,52,47,55,65,73
26,32,44,57,49,60,68,82,19,31,41,49,45,56,64,75
25,36,45,55,50,61,70,82,20,31,39,50,44,55,64,74
26,35,46,55,48,59,70,79,21,28,40,51,45,55,66,76
27,36,43,55,49,61,70,80,20,31,40,50,46,55,65,74
23,34,46,55,49,60,69,78,20,30,40,49,45,55,64,75
27,34,45,54,52,59,69,80,20,31,39,50,43,57,64,73
24,36,45,56,49,60,71,79,21,31,39,51,43,55,64,75
24,35,45,55,51,60,70,81,19,29,40,47,44,54,66,76
25,35,45,58,48,60,71,82,21,28,39,49,43,57,62,77
24,35,44,54,49,60,71,79,21,30,39,48,44,54,66,74
25,34,45,53,53,60,70,79,19,29,39,48,45,56,65,77
24,36,46,54,51,59,71,78,19,31,39,50,44,55,67,75
26,35,44,54,52,60,71,80,20,32,39,52,45,55,65,75
25,35,43,54,51,58,70,81,19,30,40,51,45,55,65,76
24,34,45,55,49,59,72,80,20,30,40,49,46,55,65,75
26,35,45,54,49,59,70,78,19,32,42,51,46,57,67,75
26,35,44,55,51,61,68,79,19,32,39,52,44,56,67,74
24,36,46,55,50,62,70,80,20,30,39,50,44,55,65,75
24,34,45,55,51,60,71,82,20,30,39,49,44,56,64,77
24,34,43,55,49,60,72,81,18,30,39,51,48,55,65,75
25,34,46,55,51,59,71,79,20,31,39,49,46,56,66,74
26,35,46,54,51,60,71,80,18,31,39,50,45,54,64,75
23,35,44,55,51,60,71,81,20,30,41,50,45,54,63,74
25,34,46,55,49,58,71,78,19,29,39,50,44,53,65,77
