"1H","2H","3H","4H","5H","6H","7H","8H","1L","2L","3L","4L","5L","6L","7L","8L"
20,31,38,51,44,55,64,74,24,34,43,58,49,60,70,82
20,30,39,49,47,55,65,76,26,35,45,56,49,60,68,80
22,31,40,51,46,55,65,75,25,37,44,56,50,61,70,78
20,30,42,50,44,55,67,73,25,36,45,55,50,59,70,79
19,31,39,49,45,56,65,77,25,34,45,55,51,61,69,80
19,29,40,50,45,54,66,75,25,35,44,56,52,60,70,79
18,31,39,48,44,57,66,77,26,34,45,55,48,60,70,79
18,31,39,50,45,56,66,74,24,35,44,54,49,59,69,81
20,32,41,52,45,56,65,76,25,35,44,55,49,59,70,81
22,30,40,50,45,55,65,74,24,34,46,56,51,61,69,81
19,31,42,50,44,56,65,74,27,34,46,57,48,61,70,80
19,29,40,49,45,53,64,75,26,36,46,55,49,59,71,81
20,32,39,50,46,54,65,75,26,34,45,54,51,62,71,80
18,31,38,51,45,54,65,75,25,33,43,54,50,61,71,79
20,31,41,50,44,56,64,76,26,33,45,55,49,58,70,81
21,30,40,49,45,55,65,75,24,33,46,56,49,60,68,80
19,29,41,51,44,56,64,74,24,35,46,55,50,61,71,79
19,32,40,49,43,55,64,75,25,37,45,55,51,60,69,81
21,29,41,49,45,54,65,74,26,33,45,56,51,60,68,78
20,31,40,49,43,55,66,75,27,37,45,57,48,58,69,78
19,29,39,51,43,56,66,75,25,36,44,55,51,59,71,80
21,30,40,49,45,55,65,74,26,37,47,56,49,59,70,79
18,30,39,51,45,57,64,73,23,36,46,56,51,58,70,80
19,29,39,48,46,55,65,76,26,36,45,56,47,60,69,79
19,31,39,50,46,55,66,76,25,34,45,55,51,59,71,80
22,29,39,50,45,56,66,76,26,33,45,55,50,62,70,80
19,28,40,49,44,56,65,74,27,36,46,54,50,60,69,79
19,30,40,51,44,57,65,77,24,36,45,56,49,59,68,79
20,29,39,51,46,54,63,75,25,36,46,55,49,58,69,79
20,30,40,49,47,54,65,75,25,34,47,56,48,61,69,80
19,29,41,50,44,57,65,75,24,35,44,55,50,60,70,80
21,29,40,52,45,56,65,76,25,34,47,54,50,60,69,82
21,29,39,51,44,56,65,74,25,34,44,54,50,58,70,80
18,30,42,51,44,54,66,75,24,35,45,53,48,59,69,81
19,27,40,49,45,56,65,73,26,34,44,56,50,60,70,79
20,29,39,50,45,57,64,75,25,36,44,55,50,60,71,79
19,30,40,48,48,57,64,74,24,36,44,57,50,60,71,79
19,30,40,50,44,54,66,75,26,36,45,56,50,61,71,79
20,29,40,51,43,54,65,75,24,35,45,57,51,59,70,80
20,30,39,50,47,57,67,78,26,36,46,57,50,60,70,81
19,29,41,50,44,56,65,75,26,34,44,56,50,61,70,81
20,31,40,49,44,55,63,75,26,37,45,55,49,59,71,80
20,29,40,51,45,54,66,76,23,33,45,55,47,60,70,79
20,30,40,51,44,55,63,74,25,37,45,54,50,60,71,81
20,28,42,50,45,55,64,73,25,35,45,57,51,61,70,81
63,76,83,94,63,76,86,95,4,16,25,36,4,15,26,36
67,75,85,96,65,74,83,94,6,15,25,34,6,14,27,36
65,76,85,95,63,74,87,94,4,15,24,35,4,15,25,35
66,75,84,94,64,74,84,96,6,15,25,34,5,13,25,35
65,75,86,95,64,74,85,97,5,16,24,35,5,15,22,35
66,75,84,95,67,75,87,96,4,16,26,34,4,14,26,35
64,74,85,94,65,74,86,96,7,15,25,34,6,16,25,35
66,77,85,95,64,74,85,95,5,13,23,35,5,13,26,36
64,77,86,94,66,74,84,96,3,14,25,36,3,15,25,35
66,75,87,95,66,75,86,95,5,15,24,36,4,17,25,35
64,76,85,95,65,79,84,97,6,16,25,35,6,15,24,34
66,75,86,95,65,76,85,94,5,17,25,34,5,15,25,36
65,75,85,95,64,76,85,96,5,14,24,35,4,14,24,34
65,74,84,94,66,74,85,95,6,14,24,34,4,16,26,36
63,75,84,95,66,74,85,96,5,16,27,36,3,15,25,34
